4676 01091 1|H|010.75740378|-03.85603807|   66.0|    1.0| 10.9|  8.3|  1.0|  0.7|H|      |     |10.225|0.035|  9|T|  3385B
4680 00299 1|H|012.80294246|-05.18315127|   83.6|  -27.1| 45.8| 21.1|  2.2|  1.5|H|      |     |11.725|0.086|  9|T|  3982B
4695 00792 1|H|031.08963024|-06.44299011|   37.1|   -5.8| 55.0| 31.2|  3.2|  1.6|H|      |     |13.201|0.152| 10|T|  9670B
4770 01716 1|H|083.89956433|-03.25257517|    0.9|   -1.0| 42.3| 34.1|  0.9|  0.6|H|      |     |10.515|0.168| 10|T| 26263B
4925 01503 1|H|168.84678667|-04.93376445|   -7.4|    6.2| 57.1| 41.3|  4.7|  2.6|H|      |     |11.845|0.258|  8|T| 54973B
4992 00737 1|H|219.22455613|-04.27924530| -358.9|    9.6| 34.8| 23.6|  1.4|  1.2|H|      |     |11.682|0.092|  8|T| 71462B
5008 00269 1|H|226.37156698|-05.00975410|  -37.4|   36.0| 65.5| 54.0|  3.0|  2.1|H|      |     |12.191|0.174|  9|T| 73843B
5017 00804 1|H|234.87962235|-01.06520516|  -24.2|   12.7| 47.3| 32.0|  1.5|  1.1|H|      |     |11.750|0.125|  8|T| 76681B
5026 00260 1|H|237.32413712|-04.96159716|   -3.9|   -5.5| 17.0| 11.8|  1.5|  1.2|H|      |     |10.996|0.047|  8|T| 77486B
5033 00150 1|H|243.04036408|-00.11076725|    3.4|   12.3| 11.5|  7.4|  1.5|  1.4|H|      |     |10.280|0.023|  8|T| 79391B
5033 00227 1|H|242.94630148|-00.68795536|  -25.4|   -5.2| 19.6| 14.2| 10.9|  6.1|H|      |     |12.176|0.047| 12|T| 79356B
5115 00165 1|H|284.07416085|-00.80399957|   16.2|    2.7| 35.5| 26.1|  1.4|  1.0|H|      |     |11.583|0.109|  9|T| 92955B
5143 01713 1|H|290.81918193|-06.58466253| -173.9| -210.0| 97.9| 48.5|  2.3|  1.5|H|      |     |13.192|0.261|  9|T| 95299B
5178 00870 1|H|311.30086419|-01.04289426|  -17.4|  -18.4| 13.0| 12.2|  1.7|  1.3|H|      |     |10.693|0.037|  8|T|102413B
5282 02311 1|H|036.30559515|-09.59997381|   40.6|   16.9| 25.6| 27.5|  1.9|  1.6|H|      |     |11.530|0.068|  9|T| 11277B
5302 00030 1|H|052.90321563|-12.73463687|  -12.1|   -3.0| 20.6| 15.9|  1.2|  0.9|H|      |     |11.390|0.092|  9|T| 16435B
5304 00134 1|H|058.67765776|-07.91050893|   64.6| -103.4| 10.2|  9.3|  1.6|  2.0|H|      |     |10.967|0.031|  8|T| 18293B
